nodes;central;node1;node2;node3;node4;node5;node6;node7;node8;node9;node10;node11
node ids;100;1;2;3;4;5;6;7;8;9;10;11
received DATA packets;0;5;5;5;5;5;5;5;5;5;5;5
from sent DATA packets;0;5;5;5;5;5;5;5;5;5;5;5
received DATA packets before start;0;1;1;1;1;1;1;1;1;1;1;1
received DATA packets after start;0;4;4;4;4;4;4;4;4;4;4;4
received requested DATA packets after join;0;0;0;0;0;0;0;0;0;0;0;0
from sent DATA packets after join;0;4;4;4;4;4;4;4;4;4;4;4
destroyed packets;215;35;96;54;79;22;59;19;66;22;52;25
sent packets;26;149;181;125;193;135;200;118;164;46;55;59
successfully received packets;999;409;677;436;553;381;548;357;581;350;480;317
total received packets;1265;472;817;514;667;419;636;390;674;385;560;361
